DESCRIPTION,MODEL,FLEET,CAPACITY,MTOW,ATC_AVG_COST_NAUT_MILE,MAINT_AVG_COST_MIN,FUEL_AVG_COST_MIN,AIRP_HANDLING_COST,CPT,OPT,SCB,CCB,CAB
FOKKER 100,100,NB,97,43090,2.38,9,12.9,580,1,1,0,1,2
AIRBUS A319-111,319,NB,132,68000,2.38,10.5,15.34,950,1,1,0,1,3
AIRBUS A320-211,320,NB,156,73500,2.88,10.33,16.52,950,1,1,0,1,3
AIRBUS A321-211,321,NB,194,83000,2.56,12,19.23,1000,1,1,0,1,4
AIRBUS A330-200,332,WB,230,230000,2.24,16.17,37.11,2250,1,1,1,2,6
AIRBUS A340-312,343,WB,274,257000,2.75,25,43.78,2520,1,1,1,2,6
AIRBUS A310-304,A310,WB,202,138600,2.24,16.17,22.99,1386,1,1,1,2,7
AIRBUS A319-111,A319,NB,132,68000,2.38,10.5,15.34,950,1,1,0,1,3
AIRBUS A320-211,A320,NB,156,73500,2.88,10.33,16.52,950,1,1,0,1,3
AIRBUS A321-211,A321,NB,194,83000,2.56,12,19.23,1000,1,1,0,1,4
AIRBUS A330-200,A330,WB,230,230000,2.24,16.17,37.11,2250,1,1,1,2,6
AIRBUS A340-312,A340,WB,274,257000,2.75,25,43.78,2520,1,1,1,2,6
ATR 42,AT4,NB,50,15550,2,8.5,7.5,100,1,1,0,1,1
ATR 72,AT7,NB,70,22800,2,8.5,7.5,450,1,1,0,1,1
BEECHCRAFT,BEH,NB,19,7688,2.38,6.17,6.35,100,1,1,0,0,1
Surface Transport,BUS,,60,0,0,0,0,0,0,0,0,0,0
EMBRAER E190,E90,NB,106,47790,2.38,7.67,8.29,350,1,1,0,1,2
EMBRAER E195,E95,NB,118,48790,2.38,7.67,8.29,350,1,1,0,1,2
EMBRAER RJ145,ER4,NB,49,20990,2.38,7.67,8.29,350,1,1,0,1,1
FOKKER 100,F100,NB,97,43090,2.38,9,12.9,580,1,1,0,1,2
