Matricula,Nome,Tipo_Aviao
CSTNA,GRAO VASCO,320
CSTNB,SOPHIA DE MELLO BREYNER,320
CSTNE,SA DE MIRANDA,320
CSTOA,FERNAO MENDES PINTO,343
CSTOB,D.JOAO DE CASTRO,343
CSTOC,VENCESLAU DE MORAES,343
CSTOD,D. FRANCISCO DE ALMEIDA,343
CSTTA,VIEIRA DA SILVA,319
CSTTB,GAGO COUTINHO,319
CSTTC,FERNANDO PESSOA,319
CSTTD,AMADEU DE SOUZA CARDOSO,319
CSTTE,FRANCISCO D'OLLANDA,319
CSTTF,CALOUSTE GULBENKIAN,319
CSTTG,HUMBERTO DELGADO,319
CSTTH,ANTONIO SERGIO,319
CSTTI,ECA DE QUEIROS,319
CSTNG,MOUZINHO DA SILVEIRA,320
CSTTJ,EUSEBIO,319
CSTNH,ALMADA NEGREIROS,320
CSTNI,AQUILINO RIBEIRO,320
CSTTK,MIGUEL TORGA,319
CSTTL,ALMEIDA GARRETT,319
CSTTM,ALEXANDRE HERCULANO,319
CSTTN,CAMILO CASTELO BRANCO,319
CSTTO,ANTERO DE QUENTAL,319
CSTTP,JOSEFA D'OBIDOS,319
CSTNJ,FLORBELA ESPANCA,320
CSTNK,TEOFILO BRAGA,320
CSTNL,VITORINO NEMESIO,320
CSTJE,PERO VAZ DE CAMINHA,321
CSTJF,LUIS VAZ DE CAMOES,321
CSTJG,AMALIA RODRIGUES,321
CSTNM,NATALIA CORREIA,320
CSTNN,GIL VICENTE,320
CSTMW,LUISA TODI,320
CSTTQ,AGOSTINHO DA SILVA,319
CSTOF,INFANTE D. HENRIQUE,332
CSTOE,PEDRO ALVARES CABRAL,332
CSTOG,BARTOLOMEU GUSMAO,332
CSTQD,EUGENIO DE ANDRADE,320
CSTNP,ALEXANDRE O'NEILL,320
CSTOH,NUNO GONGALVES,332
CSTOI,DAMIAO DE GOIS,332
CSTOJ,D. JOAO II,332
CSTOK,PADRE ANTONIO VIEIRA,332
CSTOL,JOAO GONCALVES ZARCO,332
CSTOM,VASCO DA GAMA,332
CSTON,JOAO XXI,332
CSTOO,FERNAO DE MAGALHAES,332
CSTTR,Soares dos Reis,319
CSTTS,GUILHERMINA SUGGIA,319
CSTOP,PEDRO NUNES,332
CSTNQ,JOSE REGIO,320
CSTNR,LUIS DE FREITAS BRANCO,320
CSTNS,D. AFONSO HENRIQUES,320
CSTNT,EUGENIO DE ANDRADE,320
CSTNU,xxx,320
CSTNV,xxx,320
