IATA_CODE,NB_LANDING_COST_PER_LANDING,NB_DAILY_PARKING_COST,WB_LANDING_COST_PER_LANDING,WB_DAILY_PARKING_COST
AMS,270.27,101.08,892.55,333.82
ARN,343.46,109.90,912.81,362.92
BCN,422.14,45.03,1511.45,110.22
BLQ,146.25,137.64,482.97,454.56
BRU,266.92,1015.13,881.47,3352.38
BSB,275.83,1321.66,910.92,4364.67
BUD,607.93,156.28,1609.90,516.12
CCS,292.40,1169.61,965.63,3862.54
CDG,460.42,618.40,1779.25,2042.21
CNF,275.83,1321.66,910.92,4364.67
CPH,621.83,1572.16,2053.55,5191.93
DKR,0.37,86.56,1.68,285.85
DME,405.65,40.56,1339.61,133.96
EWR,617.78,81.57,2040.16,396.72
FAO,374.94,102.52,1456.01,338.55
FCO,125.46,137.64,414.31,454.56
FNC,785.01,102.52,3049.34,338.55
FOR,275.83,1321.66,910.92,4364.67
FRA,63.09,1002.00,208.34,1426.00
GIG,275.83,1321.66,910.92,4364.67
GRU,275.83,1321.66,910.92,4364.67
GVA,325.51,2277.30,1150.23,7520.58
HAM,189.98,688.22,627.39,2272.80
HEL,407.40,281.02,1536.41,928.06
HOR,263.82,2460.40,1025.13,8125.26
JNB,619.31,34.12,2135.87,70.99
LAD,293.84,64.33,1107.33,212.44
LGW,544.15,2729.45,544.15,5983.16
LHR,565.78,3416.33,565.78,7614.67
LIN,118.44,137.64,420.50,454.56
LIS,374.94,102.52,1456.01,338.55
LUX,462.40,88.90,1527.04,293.57
LYS,304.90,449.07,1541.65,1483.00
MAD,422.14,45.03,1511.45,110.22
MPM,353.01,194.94,970.14,643.76
MUC,103.95,179.23,343.29,591.88
MXP,127.58,137.64,447.80,454.56
NAT,275.83,1321.66,910.92,4364.67
NCE,505.81,430.14,1446.99,1420.50
OPO,374.94,102.52,1456.01,338.55
ORY,460.42,618.40,1779.25,2042.21
OSL,803.67,0.00,3420.57,0.00
OXB,338.89,584.81,1404.44,1931.27
PDL,263.82,102.52,1025.13,338.55
PIX,374.94,102.52,1456.01,338.55
PRG,517.68,935.17,1215.86,3088.32
PXO,785.01,102.52,3049.34,338.55
RAI,463.87,133.59,1531.89,441.18
REC,250.49,1204.70,827.23,3978.41
SID,463.87,133.59,1531.89,441.18
SSA,275.83,1321.66,910.92,4364.67
TER,374.94,102.52,1456.01,338.55
TLS,292.14,387.13,1390.20,1278.45
VCE,131.45,137.64,458.27,454.56
WAW,516.24,2280.62,2306.33,7531.55
ZAG,810.10,179.23,2675.28,591.88
ZRH,406.17,2277.30,1449.36,7520.58
